Title,Abstract,Funding (USD),Start Year,End Year,Funder,Research Country,Funder Country,Fields of research
Spin based quantum computer and simulator (SPINUS),"The SPINUS project aims to establish experimental platforms for both quantum simulation (with >50 quantum units) and quantum computation (with >10 qubits). Despite rapid advancements, scaling and implementing quantum simulators and computers towards a regime surpassing available classical methods remains difficult due to the demanding constraints of existing architectures. By utilizing the exceptional qualities of silicon carbide (SiC) and diamond materials, the SPINUS project suggests a novel strategy for scalable solid-state quantum simulation and computation hardware based on nuclear spin networks and dipole-dipole entangled electron spin qubits. 

Our first goal is to create a quantum simulation platform that uses optically polarized NV centers and color centers along with nuclear spin networks in diamond or SiC. This technology allows for the investigation of a wide range of strongly correlated models without being constrained by the capabilities of the available quantum simulators. 

Second, we aim at scaling up platforms for solid-state quantum computing to more than 10 fully programmable qubits at ambient temperatures. For these purposes, the consortium will investigate various architectures and techniques for initializing, controlling, and reading out the spin qubits with the goal of achieving large-scale quantum simulation and computation capabilities. This will take advantage of the excellent coherence properties and robustness against environmental noise of these materials.

SPINUS has great potential to advance the field of quantum computing and simulation and open new possibilities for the investigation of intricate quantum systems by fostering and contributing to a European quantum and a European diamond ecosystem by working closely with start-up businesses affiliated with the project team and cooperation with the related Flagship initiatives.",11005012,2024,2027,European Commission,Germany; Belgium; Sweden; Germany; Germany; Italy; Hungary; Denmark; Germany; Netherlands; Czechia,EU,"Engineering; Electronics, Sensors and Digital Hardware; Atomic, Molecular and Optical Physics; Quantum Physics"
Positive Geometry in Particle Physics and Cosmology,"There are strong indications from physics at both infinitesimal and cosmic distances that our current understanding of the laws of nature is only approximate, and must be replaced by deeper principles. The UNIVERSE+ project seeks a new foundation for fundamental physics, ranging from elementary particles to the Big Bang, revealing a hidden world of ideas beyond quantum mechanics and spacetime. Novel geometric objects recently discovered in theoretical physics hint at new mathematical structures. Combinatorics, algebra and geometry have been connected to particle physics and cosmology in an entirely unexpected way. Leveraging these advances, we will launch the field of Positive Geometry, as a new mathematical framework for describing the laws of physics. To this end, we bring together the necessary expertise in particle physics (Arkani-Hamed, Henn), cosmology (Baumann) and mathematics (Sturmfels). This is the first collaboration of its kind, made possible by a recent confluence of critical insights in both mathematics and physics, which are now so closely aligned as to propel us forward on a clear trajectory. Our goals are fiercely ambitious: we aim to create a new mathematical language for describing physical phenomena at all scales, from the interactions of elementary particles to the large-scale structure of the universe.",10824895,2024,2030,ERC,Germany; United States; Netherlands,EU,Philosophy and Religious Studies; History and Philosophy Of Specific Fields; Particle and High Energy Physics
Plasma Accelerator systems for Compact Research Infrastructures,"""Plasma accelerators driven by advanced laser sources and/or compact electron linacs are key components for the next generation of green and sustainable research infrastructures. We propose a project on the development of """"Plasma Accelerator systems for Compact Research Infrastructures"""" (PACRI), which will develop highly important and ground-breaking plasma accelerator technologies for Europe's future research infrastructures (RI). 
The specific objectives of PACRI are: 
- The development of high repetition rate plasma modules, as required for the EuPRAXIA ESFRI project, capable of extending its scientific scope from high average brightness radiation sources to high energy physics.
- Improving the performance of normal conducting accelerator technology for X-band linacs, paving the way for high repetition rate operation (up to kHz) with a focus on efficiency and power consumption.
- The development of key laser components required to scale up high power, high repetition rate laser technology as required by the EuPRAXIA and ELI ESFRI research infrastructures.
The achievement of the PACRI objectives will enable the production of unique particle and photon beams with a wide range of applications in ultrafast science, high precision medical imaging, materials diagnostics, medical treatment and, in the longer term, the development of future compact colliders.  These developments will be used for future resource-efficient upgrades of existing RIs at INFN, Elettra, CERN, CNR, CNRS, DESY, ELI, GSI/FAIR and UKRI.
In addition, PACRI will support the implementation of ESFRI's EuPRAXIA distributed research facility by consolidating its sites and centres of excellence being developed under the ongoing EuPRAXIA_PP project. It will fund the development of some technical prototypes that are crucial for the implementation of the EuPRAXIA project and other European Research Infrastructures (e.g. enabling major upgrades to the ELI-Beamlines facility). 
""",10824100,2025,2029,European Commission,Italy; Italy; Germany; Germany; Czechia; Germany; France; Portugal; France; United Kingdom; Italy; Switzerland; Germany; United Kingdom; Switzerland; United Kingdom; France; Germany; Italy; Italy,EU,Engineering; Nuclear and Plasma Physics
The role of silica in the dawn of life on our planet,"All information humankind has of the ancient past of our planet comes from analyzing the geological record encoded in rocks. There is, however, no rock record of the first 600 million years of Earth’s history. Unlocking the secrets of this earliest period –the Hadean– is a fundamental task for science, as it is key to understanding how the planet became habitable, when the first forms of metabolism and self-replication developed, and life appeared. The lack of a geological record has led scientists to use computational modeling to make inferences about the conditions in Early Earth’s environments. Less common are laboratory experiments specifically targeted to simulating Hadean conditions. Based on ubiquitous carbonaceous chert deposits in the oldest rock record, it is widely accepted that many early Archean aquatic settings were reducing and rich in silica and some basic carbon-based molecules. We reason that such aquatic conditions were already established during the early Hadean, and inevitably led to the existence of a large-scale factory of simple and complex organic compounds, many of them relevant to prebiotic chemistry and to the route to biomimetic hybrid microstructures able to self-organize and catalyze prebiotic reactions relevant to the origin of life. Our project is aimed at understanding the crucial role of silica in directing the geochemical and protobiological processes, creating habitats for early life, and preserving early biomass on Earth’s surface during the first billion years of its history. PROTOS will use an array of laboratory experiments (the Hadean Simulator) to systematically study ab-initio reactions of water and gases with the earliest rock types in order to determine compositions of aquatic habitats and subsequent silica precipitation mechanisms, organic synthesis processes on silica/iron surfaces, and the preservation of the first remnants of life. PROTOS will change our view of the infancy of the planet.",10820569,2024,2030,ERC,Spain; Netherlands; Spain; Germany; France; France; Germany,EU,Earth Sciences; Geochemistry; Geology; Astronomical Sciences
Studies of Nuclear Structure and Nuclear Astrophysics,"This award supports experimental nuclear physics research at Florida State University (FSU). FSU researchers perform experiments at the on-campus John D. Fox Superconducting Accelerator Laboratory and at national laboratories in the US and around the world. This research pursues two overarching goals. The first goal is to measure nuclear reactions that take place in stellar explosions. These reactions are responsible for producing most of the naturally occurring elements in the universe. The second goal is to measure and understand the behavior of exotic nuclei – isotopes that have too many neutrons or too few neutrons to be stable. All of this research is performed in close collaboration with theoretical physicists at both FSU and elsewhere. The Fox Laboratory’s research program is one of the nation’s most important training grounds for nuclear scientists at both the Ph.D. and undergraduate levels. A collaboration between the FSU laboratory and the Mayo clinic in Jacksonville is investigating the parameters of cancer therapy in preparation for the first carbon ion therapy facility in North America. The scientists supported by this award will conduct laboratory experiments to determine the rates at which reactions occur in exploding stars, and thereby understand the abundances of elements in the universe. These experiments will also lead to a better interpretation of the energy release and nucleosynthesis outcomes by calibrating the relevant nuclear reactions. The experiments with exotic nuclei will provide rigorous tests of our understanding of the behavior of all nuclei. More specifically, these measurements will provide an understanding of shell evolution from stable to neutron-rich nuclei. Further, the development of a triton beam will give the lab unique capabilities to study (t,p) reactions such as 49T(t,p) to distinguish between the f5/2 and f7/2 neutron states in 51Ti. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",9000000,2024,2028,NSF,United States,United States,Nuclear and Plasma Physics; Synchrotrons and Accelerators
Online Data Intensive Solutions for Science in the Exabytes Era,"This project federates efforts from 3 pan-European ESFRI infrastructures (HL-LHC, SKAO and SLICES-RI) in physical sciences, Big Data, and in the computing continuum supporting flagship instruments that will maintain and strengthen European leadership in high-energy physics and astronomy. The main goal is to enable key science projects, with the search for Dark Matter serving as a pilot program, combining the complementary capabilities of these three unique research infrastructures. ODISSEE will deliver evolutionary and revolutionary hardware and software platforms to address the corresponding digital challenges in a highly competitive international context. Developed through a joint and comprehensive R&D program with industry partners, as well as access to cutting edge experimental facilities from SLICES-RI, so as to enable HL-LHC and SKA to process and analyze the vast volumes of raw data they produce. Targeting such dataflow driven applications opens the way to a new range of technologies and services, feeding SLICES-RI with a unique yet representative set of specifications to progress their operational & experimental capacities at an unprecedented scale, increasing the dissemination potential. Bringing these 3 infrastructures to their full capacity, as well as operating and maintaining them, pose similar grand challenges across the digital continuum and require addressing the 3 dimensions of sustainability. Co-design and close partnership of academia with European companies will foster competitiveness of European industry and promote digital sovereignty. The project is deeply embedded into both regional and international R&I ecosystems, with strong connections to several major European initiatives and associated partnerships with main technology providers. Strong and lasting impact is built-in the two-fold exploitation strategy including the development of unique in-depth training for R.I. staff and extensive trans-sectoral dissemination.",8934183,2025,2027,European Commission,France; France; France; Norway; Switzerland; Switzerland; Switzerland; France; Netherlands; Spain,EU,Information and Computing Sciences; Nuclear and Plasma Physics
4D scanning transmission electron microscopy for structural biology,"Electron Microscopy (EM) has transformed research in the Life and Physical Sciences separately. Cryo-EM in Life Sciences allows the 3D structure determination of proteins down to 1.0 Å resolution in case they are large enough and present in high numbers in homogeneous states. For many molecules involved in diseases like neurodegeneration, however, structure determination is still severely hampered due to their insufficient contrast when imaged in vitreous ice or in their native cellular environment. To date, EM in the Physical Sciences generated utmost contrast for light atoms and established a resolution in the range of 0.2 Å limited only by thermal motion. This record was achieved by evolving scanning transmission EM (STEM) from a 2D to a 4D imaging technique combining imaging with diffraction. In this project, we will work out 4D-BioSTEM methodologies and develop a cryo-EM tool that maximizes contrast and resolution by bringing together EM groups from Life and Physical Sciences. 4D-STEM imaging of frozen biological specimens will be approached with unique and specialized hardware, theory and simulation, the development of microscope operation routines, and image reconstruction algorithms. In particular, we will acquire sparse 4D data using ultrafast detectors, employ methods for direct phasing (differential phase contrast, DPC) and establish advanced, so-called ptychographic, techniques to gain maximal signal from noisy 4D cryo-STEM data that are limited in their electron dose budget. We will make use of synergies between recently separated fields in order to make proteins smaller than 50 kDa amenable to structure elucidation. Furthermore, we will expand 4D-STEM to tomography, to obtain high-contrast 3D reconstructions from cellular samples, human brain tissue of neurodegenerative diseases, and vitrified organic energy materials. A new comprehensive structural imaging framework will be put forward and benchmarked as to its utility in Life and Physical Science applications of cryo-EM.",8107200,2024,2029,ERC,Germany; Germany; Switzerland,EU,Condensed Matter Physics
Cryogenic storage and refuelling in space,"To move away from the dependence on hydrazine for space propulsion, greener alternatives must be sought. Cryogenic propellant combinations such as oxygen / methane offer higher specific impulses than storable combinations, but their low saturation temperatures raise additional challenges with respect to preventing their evaporation during long-term storage. While the ability to refuel craft with cryogenic propellants would allow for longer-term manned missions to Mars and the Moon, as well as aid in the improvement of in-space sustainability, preventing the evaporation of the propellants during the transfer process also poses challenges. As of today, neither long-term storage nor refuelling with cryogenic propellants has been demonstrated in-orbit. 

CRYSALIS will develop and mature the technologies needed for the management of cryogenic propellant for future space transportation and in-orbit servicing activities. This maturation will include performing a small-scale in-orbit demonstration to mature those whose performance can only be characterised in a microgravity environment. This will be a closed-system demonstrator flown on-board the Nyx capsule, which will aim to not only demonstrate the feasibility of such processes but will aim to improve the understanding of the behaviour of such propellants under microgravity, allowing for development of future systems. 

These technologies will aid in ensuring the independent access of the EU to space, in particular to manned and heavy missions beyond GEO and LEO, by supporting the development of a logistical network of craft, depots, and hubs, required for cis-lunar and future Martian missions.",8043974,2024,2028,European Commission,Belgium; Spain,EU,Space Sciences
REVEALing Signatures of Habitable Worlds Hidden by Stellar Activity,"For millennia people have wondered, “Do other Earths exist?” “Are they common?” “Would they show signs of life?”. We now have the technical capability to answer these questions. New radial-velocity spectrometers are capable of detecting the reflex motions of stars hosting Earth-mass planets in their habitable zones; the James Webb Space Telescope has the power to probe the atmospheres of rocky exoplanets. Yet the unprecedented precision of these instruments’ measurement capabilities is up against a fundamental astrophysically-imposed barrier to achieving these goals: contamination of exoplanetary signals by stellar activity and variability. Further progress is contingent on solving this “variability problem”.

REVEAL gathers world-leading experts in exoplanetary and stellar physics to tackle this problem in synergy:

- We will build on recent advances in magnetohydrodynamic simulations of stellar atmospheres, and data-driven efforts to separate the exoplanet signal from the stellar variability.

- We will simulate the “ground truth” of the turbulent physics of entire stellar photospheres resolved at the level of individual convective cells for a broad class of stars.

- We will model the emergent spectra of these “virtual” stars and “observe” them using the same data-processing pipelines as stellar radial-velocity and transit-spectroscopy observations.

We will continue to observe the Sun and stars hosting small planets found with TESS and PLATO. The stars’ own spectra will REVEAL the clues needed to disentangle stellar variability from our measurements of their planets’ masses and the fingerprints of molecules in their atmospheres. Our unified efforts will enable the new cutting-edge space observatories and ground-based facilities to realize the full potential of their designs, bringing us closer to the most profound discoveries we could hope to achieve in our lifetimes - the identification of another Earth or even possible signs of life on another planet.",7394973,2024,2030,ERC,Austria; United Kingdom; United States; United States; Germany,EU,Astronomical Sciences
Support for the Kitt Peak National Observatory (KPNO) WIYN 3.5-meter Telescope Facility,"Many stars in our galaxy host one or more planets. With this award, the WIYN telescope at the Kitt Peak National Observatory near Tucson will continue to be used primarily to measure the velocities and masses of these “exoplanets”. Masses are needed to determine if an exoplanet is primarily gaseous, icy, or rocky. Research enabled by this program will strengthen the foundations for identifying and characterizing Earth-like exoplanets in the nearby cosmos. The primary instrument being used at WIYN, known as NEID, exceeds its technical requirements and routinely measures planet velocities to better than a meter per second. This proposal will fund the next 45 months of NSF’s contribution to WIYN operations, in support of the NASA-NSF Exoplanet Observational Research (NN-EXPLORE) Program. NN-EXPLORE brings together federal agencies, federal research centers, and U.S. universities, with the goal of advancing research in exoplanets. The open access for enquiry-based research via peer review and open data facilitated by this award will allow scientists and citizens to engage in the WIYN research enterprise no matter who they are or where they work. Many participants are early career scientists and undergraduate students. Under this award, NSF’s National Optical-Infrared Astronomy Research Laboratory (NOIRLab) will continue to operate the WIYN telescope from 2024 through 2027 as NSF’s contribution to the NN-EXPLORE program. NN-EXPLORE enables scientific research related to the characterization of exoplanets and their host stars. NEID is the only open-access extreme-precision radial velocity instrument in the U.S. that has the technical capability and the required years-long and high cadence (approximately every other night) time on sky to meet the goal of identifying nearby habitable planets, following up on discoveries by NASA missions like Kepler and TESS, picking key targets for the James Webb and Roman Space Telescopes, and blazing the path forward to enable NASA’s future Habitable Worlds Observatory. This award provides support for essential operations and maintenance of WIYN, as well as minor technological upgrades needed for the continued operation of NEID. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",6682584,2024,2027,NSF,United States,United States,Astronomical Sciences
